,EpisodeReward
0,-11.676980198019802
1,-11.345915841584159
2,-10.696163366336634
3,-10.006188118811881
4,-9.650371287128714
5,-9.631806930693068
6,-9.551361386138614
7,-8.239480198019802
8,-8.381806930693068
9,-8.236386138613861
10,-7.3236386138613865
11,-5.439356435643564
12,-5.1361386138613865
13,-5.151608910891089
14,-4.876237623762377
15,-4.761757425742574
16,-4.771039603960396
17,-4.139851485148514
18,-4.78960396039604
19,-3.944925742574257
20,-4.545173267326732
21,-4.962871287128713
22,-4.600866336633663
23,-4.2450495049504955
24,-3.948019801980198
25,-4.523514851485149
26,-3.849009900990099
27,-3.821163366336634
28,-4.316212871287129
29,-3.756188118811881
30,-4.1058168316831685
31,-3.483910891089109
32,-4.226485148514851
33,-3.7066831683168315
34,-3.7840346534653464
35,-3.780940594059406
36,-3.892326732673267
37,-3.567450495049505
38,-3.839727722772277
39,-3.6169554455445545
40,-3.8366336633663365
41,-3.155940594059406
42,-3.4375
43,-3.5922029702970297
44,-3.01980198019802
45,-3.551980198019802
46,-3.613861386138614
47,-3.579826732673267
48,-3.69856608478803
