,rewards
0,-7.1875
1,-2.8125
2,-5.9375
3,-7.5
4,-7.1875
5,-6.5625
6,-8.4375
7,-12.8125
8,-14.6875
9,-7.5
10,-15.0
11,-11.5625
12,-11.5625
13,-5.9375
14,-7.812500000000001
15,-5.625
16,-11.5625
17,-13.75
18,-5.625
19,-3.75
20,-9.0625
21,-12.5
22,-13.125
23,-11.5625
24,-8.4375
25,-11.5625
26,-8.125
27,-11.5625
28,-11.5625
29,-3.4375
30,-5.9375
31,-12.8125
32,-12.8125
33,-11.25
34,-6.875
35,-12.8125
36,-11.5625
37,-11.5625
38,-9.375
39,-11.5625
40,-12.1875
41,-7.5
42,-12.8125
43,-4.6875
44,-3.4375
45,-11.5625
46,-12.8125
47,-9.6875
48,-6.875
49,-11.5625
50,-5.625
51,-12.1875
52,-11.5625
53,-12.8125
54,-12.5
55,-1.875
56,-2.1875
57,-7.812500000000001
58,-0.3125
59,-5.9375
60,-1.875
61,-6.875
62,-1.875
63,-6.875
64,-4.375
65,-12.8125
66,-4.0625
67,-11.5625
68,-9.6875
69,-5.3125
70,-11.5625
71,-14.0625
72,-11.5625
73,-7.1875
74,-0.9375
75,-5.0
76,-5.0
77,-4.375
78,-12.1875
79,-14.0625
80,-0.0
81,-9.375
82,-7.812500000000001
83,-7.1875
